Runs,Time spent,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date,Runs_scored
3,6,8,0,0,37.5,3,caught,1,ODI , Bangladesh,Melbourne,19-Mar-15,3
1,11,13,0,0,7.69,3,caught,2,ODI , Australia,Sydney,26-Mar-15,1
14,17,22,2,0,63.63,4,bowled,1,Test , Bangladesh,Fatullah,10-Jun-15,14
1,9,4,0,0,25,3,caught,2,ODI , Bangladesh,Mirpur,18-Jun-15,1
23,57,27,3,1,85.18,3,lbw,1,ODI , Bangladesh,Mirpur,21-Jun-15,23
25,55,35,1,0,71.42,3,bowled,1,ODI , Bangladesh,Mirpur,24-Jun-15,25
103,266,191,11,0,53.92,4,lbw,2,Test , Sri Lanka,Galle,12-Aug-15,103
3,14,10,0,0,30,5,caught,4,Test , Sri Lanka,Galle,12-Aug-15,3
78,178,107,8,1,72.89,4,caught,1,Test , Sri Lanka,Colombo (PSS),20-Aug-15,78
10,33,19,0,0,52.63,4,lbw,3,Test , Sri Lanka,Colombo (PSS),20-Aug-15,10
18,96,60,3,0,30,4,caught,1,Test , Sri Lanka,Colombo (SSC),28-Aug-15,18
21,87,63,2,0,33.33,4,caught,3,Test , Sri Lanka,Colombo (SSC),28-Aug-15,21
43,58,27,1,3,159.25,3,caught,1,T20I , South Africa,Dharamsala,2-Oct-15,43
1,3,1,0,0,100,3,run out,1,T20I , South Africa,Cuttack,5-Oct-15,1
11,29,18,0,0,61.11,4,caught,2,ODI , South Africa,Kanpur,11-Oct-15,11
12,24,18,0,0,66.66,4,run out,1,ODI , South Africa,Indore,14-Oct-15,12
77,155,99,5,0,77.77,3,caught,2,ODI , South Africa,Rajkot,18-Oct-15,77
138,202,140,6,5,98.57,3,caught,1,ODI , South Africa,Chennai,22-Oct-15,138
7,11,6,0,1,116.66,3,caught,2,ODI , South Africa,Wankhede,25-Oct-15,7
1,5,4,0,0,25,4,caught,1,Test , South Africa,Mohali,5-Nov-15,1
29,92,71,4,0,40.84,4,caught,3,Test , South Africa,Mohali,5-Nov-15,29
22,73,55,2,0,40,4,caught,1,Test , South Africa,Nagpur,25-Nov-15,22
16,49,30,2,0,53.33,4,caught,3,Test , South Africa,Nagpur,25-Nov-15,16
44,74,62,7,0,70.96,4,caught,1,Test , South Africa,Delhi,3-Dec-15,44
88,259,165,10,0,53.33,5,lbw,3,Test , South Africa,Delhi,3-Dec-15,88
91,148,97,9,1,93.81,3,caught,1,ODI , Australia,W.A.C.A,12-Jan-16,91
59,84,67,4,0,88.05,3,run out,1,ODI , Australia,Brisbane,15-Jan-16,59
117,174,117,7,2,100,3,caught,1,ODI , Australia,Melbourne,17-Jan-16,117
106,131,92,11,1,115.21,3,caught,2,ODI , Australia,Canberra,20-Jan-16,106
8,11,11,1,0,72.72,3,caught,2,ODI , Australia,Sydney,23-Jan-16,8
90,71,55,9,2,163.63,3,not out,1,T20I , Australia,Adelaide,26-Jan-16,90
59,44,33,7,1,178.78,3,not out,1,T20I , Australia,Melbourne,29-Jan-16,59
50,49,36,2,1,138.88,3,bowled,2,T20I , Australia,Sydney,31-Jan-16,50
7,13,12,1,0,58.33,3,caught,1,T20I , Bangladesh,Mirpur,24-Feb-16,7
49,71,51,7,0,96.07,3,lbw,2,T20I , Pakistan,Mirpur,27-Feb-16,49
56,85,47,7,0,119.14,3,not out,2,T20I , Sri Lanka,Mirpur,1-Mar-16,56
41,62,28,5,0,146.42,3,not out,2,T20I , Bangladesh,Mirpur,6-Mar-16,41
23,,27,2,0,85.18,3,caught,2,T20I , New Zealand,Nagpur,15-Mar-16,23
55,66,37,7,1,148.64,3,not out,2,T20I , Pakistan,Eden Gardens,19-Mar-16,55
24,37,24,0,1,100,3,bowled,1,T20I , Bangladesh,Bengaluru,23-Mar-16,24
82,78,51,9,2,160.78,3,not out,2,T20I , Australia,Mohali,27-Mar-16,82
89,63,47,11,1,189.36,3,not out,1,T20I , West Indies,Wankhede,31-Mar-16,89
200,375,283,24,0,70.67,4,bowled,1,Test , West Indies,North Sound,21-Jul-16,200
44,144,90,4,1,48.88,4,caught,2,Test , West Indies,Kingston,30-Jul-16,44
3,17,8,0,0,37.5,3,caught,1,Test , West Indies,Gros Islet,9-Aug-16,3
4,21,17,0,0,23.52,3,lbw,3,Test , West Indies,Gros Islet,9-Aug-16,4
16,8,9,3,0,177.77,3,caught,2,T20I , West Indies,Lauderhill,27-Aug-16,16
9,12,10,2,0,90,4,caught,1,Test , New Zealand,Kanpur,22-Sep-16,9
18,45,40,3,0,45,4,caught,3,Test , New Zealand,Kanpur,22-Sep-16,18
9,42,28,1,0,32.14,4,caught,1,Test , New Zealand,Eden Gardens,30-Sep-16,9
45,82,65,7,0,69.23,4,lbw,3,Test , New Zealand,Eden Gardens,30-Sep-16,45
211,536,366,20,0,57.65,4,lbw,1,Test , New Zealand,Indore,8-Oct-16,211
17,36,28,1,0,60.71,4,lbw,3,Test , New Zealand,Indore,8-Oct-16,17
85,109,81,9,1,104.93,3,not out,2,ODI , New Zealand,Dharamsala,16-Oct-16,85
9,18,13,1,0,69.23,3,caught,2,ODI , New Zealand,Delhi,20-Oct-16,9
154,202,134,16,1,114.92,3,not out,2,ODI , New Zealand,Mohali,23-Oct-16,154
45,64,51,2,1,88.23,3,caught,2,ODI , New Zealand,Ranchi,26-Oct-16,45
65,152,76,2,1,85.52,3,caught,1,ODI , New Zealand,Visakhapatnam,29-Oct-16,65
40,135,95,5,0,42.1,4,hit wicket,2,Test , England,Rajkot,9-Nov-16,40
